receiver,method,scope,budget,probability_variant,macro_f1,accuracy,balanced_accuracy,ece,adaptive_ece,nll,brier,mean_confidence,mean_correctness,confidence_accuracy_gap,entropy
13-7,P0_WIDE,primary,128,raw,0.8226893730895692,0.8230308219178083,0.8229725988495693,0.064131906721103,0.0639002383310245,0.5838933469942805,0.2483988442990277,0.8868749570809559,0.8230308219178083,0.0638441351631477,0.3061525891838748
13-7,P1,primary,128,raw,0.7991401006614265,0.8002996575342465,0.8001565495039049,0.0882532537940328,0.0882068918749996,0.6849973556911899,0.2834834548406985,0.8884764368824456,0.8002996575342465,0.088176779348199,0.2880798167971195
13-7,P2,primary,128,raw,0.8115618183180546,0.8117722602739725,0.8115495285097148,0.0843308816874425,0.0842210632500124,0.6490782281636149,0.2662657152914281,0.8959773221212656,0.8117722602739725,0.0842050618472929,0.2702292301593024
13-7,P2,primary,128,source_temperature,0.8115618183180546,0.8117722602739725,0.8115495285097148,0.0306762050729207,0.0267851805369566,0.5253591941447888,0.246563893290566,0.7928467686825768,0.8117722602739725,-0.0189254915913958,0.5999044621050958
13-7,P2_MISMATCHED_RX,primary,128,raw,0.808112339801607,0.8080051369863014,0.8078486507271749,0.0895771962986008,0.0891406999237529,0.6779390787949882,0.2766166211840725,0.8971223203924625,0.8080051369863014,0.0891171834061611,0.2716748659901588
13-7,P2_NULL,primary,128,raw,0.8117369943817485,0.8119006849315069,0.8117475803561355,0.0541264327440716,0.0531684388094007,0.5739488399194416,0.2558151273962498,0.8619354087380973,0.8119006849315069,0.0500347238065904,0.3593090278956669
13-7,P2_SHUFFLED,primary,128,raw,0.8080923869167311,0.8087756849315069,0.8086680209146724,0.0876072193208877,0.0873901798740692,0.6719861920866486,0.2741820433421247,0.8947792606064666,0.8087756849315069,0.0860035756749598,0.2759327865095492
13-7,RX_NORM,primary,128,raw,0.8129362847397081,0.8135273972602739,0.8134881134700084,0.0818028274368597,0.0817723112276513,0.6323033239495468,0.2704355050879391,0.8951612773230172,0.8135273972602739,0.0816338800627432,0.2940609762531475
13-7,SAR_GN,primary,128,raw,0.8249093946828522,0.8251284246575341,0.8250753041665778,0.0661232228480177,0.0659782403084921,0.5904175693555481,0.2473562156519407,0.8910208966736107,0.8251284246575341,0.0658924720160765,0.29036014423424
13-7,SAR_GN,primary,128,source_temperature,0.8249093946828522,0.8251284246575341,0.8250753041665778,0.0258608304154086,0.0249965177527356,0.5153397460610957,0.2367512732115296,0.8190764623016801,0.8251284246575341,-0.0060519623558542,0.5265845907213025
13-7,SOURCE_NORM,primary,128,raw,0.8174752126384103,0.8181078767123287,0.8180343113602524,0.0620948733021951,0.0624190917799938,0.5946383023369017,0.2521875109470308,0.880083541725188,0.8181078767123287,0.0619756650128593,0.3148712767048703
13-7,SUP_FT_FULL_128,primary,128,raw,0.8549380577137786,0.8533818493150684,0.8533806306906249,0.047166988404136,0.0470947496031653,0.5148674990363716,0.2076239849002821,0.9004105637896143,0.8533818493150684,0.0470287144745457,0.268867319250096
13-7,SUP_FT_HEAD_128,primary,128,raw,0.8364997143075993,0.8344606164383561,0.8344581029150204,0.0543408489881772,0.0544487786128453,0.5443792067631408,0.2339443419690474,0.8886775750073618,0.8344606164383561,0.0542169585690055,0.3048128778904987
